alsa-firmware 1.2.4-3
alsa-lib 1.2.9-1
alsa-plugins 1:1.2.7.1-2
alsa-utils 1.2.9-1
amd-ucode 20230404.2e92a49f-1
anydesk-bin 6.2.1-2
arandr 0.1.11-2
archlinux-keyring 20230504-1
atool 0.39.0-8
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r22+gfd482a7-1
awesome-terminal-fonts 1.1.0-4
base 3-1
bat 0.23.0-3
betterlockscreen 4.0.4-1
bind 9.18.15-1
binutils 2.40-6
bison 3.8.2-5
bitwarden 2023.5.0-2
btop 1.2.13-1
calcurse 4.8.1-1
canto-daemon 0.9.8-4
cmus 2.10.0-4
cointop 1.6.10-1
cryptsetup 2.6.1-3
curl 8.1.2-1
dbus 1.14.8-1
debugedit 5.0-5
dex 0.9.0-1
diffutils 3.10-1
discord 0.0.27-2
e2fsprogs 1.47.0-1
efibootmgr 18-2
exa 0.10.1-7
fakeroot 1.31-2
feh 3.10-1
ffmpegthumbnailer 2.2.2-5
file 5.44-3
findutils 4.9.0-3
flex 2.6.4-5
fzf 0.42.0-1
gawk 5.2.2-1
gcc 13.1.1-1
gettext 0.21.1-5
git 2.41.0-1
glow 1.5.1-1
go 2:1.20.5-1
gotop 4.2.0-1
gparted 1.5.0-1
gpm 1.20.7.r38.ge82d1a6-5
grep 3.11-1
groff 1.22.4-10
grub 2:2.06.r566.g857af0e17-1
gvfs 1.50.4-3
gvfs-afc 1.50.4-3
gvfs-google 1.50.4-3
gvfs-gphoto2 1.50.4-3
gvfs-mtp 1.50.4-3
gvfs-nfs 1.50.4-3
gvfs-smb 1.50.4-3
gzip 1.12-2
harfbuzz 7.3.0-1
highlight 4.5-1
hyperv 6.3-2
i3lock-color 2.13.c.4-1
intellij-idea-community-edition 4:2023.1.2-1
jupyter-console 6.6.3-2
khal 0.11.2-1
kitty 0.28.1-2
lib32-gtk3 1:3.24.38-1
lib32-libpulse 16.1-6
lib32-libxcomposite 0.4.6-1
lib32-libxinerama 1.1.5-1
lib32-mpg123 1.31.3-1
lib32-v4l-utils 1.24.1-1
libcaca 0.99.beta20-2
libnotify 0.8.2-1
libtool 2.4.7+4+g1ec8fa28-3
libxft 2.3.8-1
libxss 1.2.3-4
light 1.2.2-3
linux 6.3.8.arch1-1
linux-firmware 20230404.2e92a49f-1
linux-headers 6.3.8.arch1-1
lsb-release 2.0.r48.3cf5103-1
luarocks 3.9.2-1
lvm2 2.03.21-1
m4 1.4.19-3
maim 5.7.4-5
make 4.4.1-2
man-db 2.11.2-1
man-pages 6.04-1
mediainfo 23.04-1
mesa 23.1.2-1
mesa-utils 9.0.0-2
mkinitcpio 36-1
mkinitcpio-nfs-utils 0.3-8
mobile-broadband-provider-info 20230416-1
